ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C1,Acme Corp,3,"T17,T27,T33,T31,T20,T3,T32,T26",GroupA,"{""location"":""New York"",""budget"":100000}"
C2,Globex Inc,1,"T35,T39,T10,T17,T46",GroupB,"{""message"":""ensure deliverables align with project scope"",""location"":""London"",""budget"":56000}"
C3,Initech,4,"T28,T7,T23,T40,T41,T31,T36,T21,T50,T14",GroupA,"{""sla"":""24h"",""vip"":true}"
C4,Umbrella Co,5,"T22,T1,T43,T21,T32,T41,T16,T5,T40,T13",GroupC,"{""message"":""budget approved pending CFO review"",""location"":""Mumbai"",""budget"":112000}"
C5,Stark Industries,2,"T36,T32,T8,T47,T7,T19,T20",GroupB,"{""notes"":""rush order"",""budget"":200000}"
C6,Wayne Enterprises,5,"T19,T16,T13,T40,T37,T46,T21,T3,T12",GroupA,"{""message"":""client prefers morning meetings"",""location"":""Tokyo"",""budget"":85000}"
C7,Cyberdyne Systems,3,"T24,T15,T6,T29,T38,T44",GroupC,"{""priority"":""high"",""deadline"":""2024-02-15""}"
C8,Oscorp Industries,4,"T11,T18,T25,T34,T42,T48",GroupB,"{""specialRequirements"":""clean room environment"",""budget"":150000}"
C9,LexCorp,2,"T2,T9,T26,T45,T49",GroupA,"{""location"":""Metropolis"",""contactPerson"":""Lex Luthor""}"
C10,InGen Corporation,5,"T4,T30,T35,T41,T50,T17",GroupC,"{""researchProject"":true,""securityLevel"":""high""}"